Dia;Hora;Temperatura;Humedad;Presion
1;0;11;55;1020
1;1;9;59;1020
1;2;8;58;1020
1;3;8;58;1020
1;4;6;57;1020
1;5;5;59;1019
1;6;5;61;1019
1;7;7;64;1019
1;8;9;63;1018
1;9;11;63;1018
1;10;12;63;1018
1;11;13;65;1018
1;12;14;67;1018
1;13;16;69;1016
1;14;18;69;1016
1;15;18;69;1016
1;16;19;67;1016
1;17;21;65;1017
1;18;21;63;1017
1;19;19;60;1015
1;20;17;60;1013
1;21;16;61;1013
1;22;14;65;1013
1;23;12;69;1014
2;0;10;71;1016
2;1;10;74;1016
2;2;8;76;1016
2;3;7;77;1017
2;4;5;75;1017
2;5;4;75;1017
2;6;10;75;1017
2;7;13;75;1017
2;8;14;77;1017
2;9;14;78;1018
2;10;16;78;1019
2;11;18;76;1019
2;12;20;76;1019
2;13;20;74;1019
2;14;21;71;1018
2;15;22;69;1018
2;16;24;67;1017
2;17;24;65;1017
2;18;25;65;1016
2;19;23;66;1016
2;20;21;66;1016
2;21;19;62;1016
2;22;17;60;1015
2;23;16;60;1013